"IdTipoBeneficio_T";"IdAreaDeServicio_T";"IdCondicionDePagoCopago_T";"IdCondicionDePagoCoseguro_T";"IdNivelServicio_T";"IdPlan_T";"Fecha";"IdProveedor_T";"valorCopago";"valorCoseguro";"cantidadLimite"
895;38042018;34;36;2;"33602TX0460722-01";"2018-12-31";33602;0;0;0
1015;27992018;238;36;1;"28162OH0060068-01";"2018-12-31";28162;75;0;0
275;44842017;34;9;1;"36239KY1130005-05";"2017-12-31";36239;0;0;1
830;152018;238;45;2;"10207VA0440004-00";"2018-12-31";10207;0;0;1
250;67812018;34;27;1;"54192IN0010010-00";"2018-12-31";54192;0;50;0
420;78332018;238;45;1;"66252TX0030004-02";"2018-12-31";66252;0;0;0
85;107792017;34;45;3;"94529WI0210032-01";"2017-12-31";94529;0;100;1
1055;44112018;238;45;2;"36194FL0130003-01";"2018-12-31";36194;0;0;0
80;38532017;238;45;1;"33602TX0770081-01";"2017-12-31";33602;0;0;0
75;37732017;238;45;1;"33602TX0460274-03";"2017-12-31";33602;0;0;0
85;4932017;34;45;3;"14002TN0190070-00";"2017-12-31";14002;0;20;0
790;27642018;238;45;2;"27833IL0150004-05";"2018-12-31";27833;0;0;40
215;48572018;238;45;2;"38166WI0180012-04";"2018-12-31";38166;0;0;0
835;97542018;238;45;3;"89942GA0060004-01";"2018-12-31";89942;0;0;0
710;30682018;238;36;1;"29418TX0140002-04";"2018-12-31";29418;25;0;0
595;41662017;238;45;2;"36096IL0990056-00";"2017-12-31";36096;0;0;0
335;52232017;238;45;1;"40047MI0070001-00";"2017-12-31";40047;0;0;0
360;11812018;51;36;1;"19722NM0010001-02";"2018-12-31";19722;0;0;0
215;80412017;238;36;1;"66252TX0050001-00";"2017-12-31";66252;10;0;0
770;80412017;238;45;2;"66252TX0050001-00";"2017-12-31";66252;0;0;0
600;59962018;34;45;3;"41921VA0020009-01";"2018-12-31";41921;0;100;0
420;109492017;34;45;3;"96667ME0260012-03";"2017-12-31";96667;0;100;0
990;49802018;238;45;2;"38166WI0180012-06";"2018-12-31";38166;0;0;0
590;38562017;238;45;1;"33602TX0770087-00";"2017-12-31";33602;0;0;0
30;80132017;238;45;1;"66252TX0030004-02";"2017-12-31";66252;0;0;0
900;37242017;34;27;3;"32753MO0780020-01";"2017-12-31";32753;0;50;0
590;24032018;238;45;3;"25268KS0020001-01";"2018-12-31";25268;0;0;0
360;61952018;238;45;2;"41921VA0020029-03";"2018-12-31";41921;0;0;0
420;16042018;34;45;3;"20129IL0330060-05";"2018-12-31";20129;0;100;0
255;113612017;238;45;2;"99248TN0060001-01";"2017-12-31";99248;0;0;0
175;41172017;170;27;3;"36096IL0990040-05";"2017-12-31";36096;1500;50;0
235;13782018;34;27;3;"20129IL0310123-01";"2018-12-31";20129;0;50;0
250;38482017;34;36;2;"33602TX0770036-05";"2017-12-31";33602;0;0;0
10;82522018;34;27;3;"67243LA0090007-06";"2018-12-31";67243;0;50;0
330;82522018;238;45;2;"67243LA0090007-06";"2018-12-31";67243;0;0;0
275;82522018;34;45;1;"67243LA0090007-06";"2018-12-31";67243;0;50;1
400;70262018;238;45;2;"54192IN0010012-02";"2018-12-31";54192;0;0;0
725;40902017;34;27;1;"36096IL0990040-05";"2017-12-31";36096;0;30;0
275;29822017;238;45;2;"29418TX0140002-04";"2017-12-31";29418;0;0;1
190;93252017;238;45;3;"83761GA0040022-02";"2017-12-31";83761;0;0;2
625;105092018;34;27;1;"91762NJ0070093-00";"2018-12-31";91762;0;20;0
590;112662018;238;45;3;"98185MI0440011-03";"2018-12-31";98185;0;0;0
990;67552018;34;27;1;"53901AZ1420020-00";"2018-12-31";53901;0;10;0
85;67552018;34;45;3;"53901AZ1420020-00";"2018-12-31";53901;0;100;0
700;38522017;238;45;1;"33602TX0770078-02";"2017-12-31";33602;0;0;0
540;101092017;34;45;3;"91661NJ2340003-05";"2017-12-31";91661;0;100;0
435;38672017;238;45;1;"33602TX0770102-02";"2017-12-31";33602;0;0;0
395;702017;34;27;1;"11269WY0080014-00";"2017-12-31";11269;0;25;0
5;4972017;238;45;1;"14002TN0190070-00";"2017-12-31";14002;0;0;0
480;9492018;204;36;1;"16322PA0050102-00";"2018-12-31";16322;3500;0;0
85;27922018;238;45;3;"28162OH0060061-04";"2018-12-31";28162;0;0;0
825;55272018;238;45;3;"41047OH0010019-04";"2018-12-31";41047;0;0;0
70;109872017;34;45;3;"96667ME0260012-03";"2017-12-31";96667;0;100;0
1010;61622018;238;45;2;"41921VA0020029-03";"2018-12-31";41921;0;0;0
165;38002018;238;45;1;"33602TX0460692-03";"2018-12-31";33602;0;0;0
